Betas:
CE K	    74.9475 6   	    19.3 % 3 	  0.01450 23 
CE K	    78.85 10   	     0.00317 % 12 	  2.50E-6 10 
CE K	   101.17 5   	     0.0086 % 11 	  8.7E-6 11 
CE L	   114.0449 6   	    10.56 % 18 	  0.01204 21 
CE L	   117.94 10   	     0.00165 % 7 	  1.95E-6 8 
CE M	   120.0589 9   	     2.43 % 4 	  0.00292 4 
CE N	   121.4360 9   	     0.534 % 9 	  6.48E-4 11 
CE O	   121.7550 3   	     0.0682 % 12 	  8.30E-5 15 
CE M	   123.96 10   	     3.81E-4 % 15 	  4.72E-7 19 
CE N	   125.33 10   	     8.4E-5 % 3 	  1.05E-7 4 
CE O	   125.65 10   	     1.07E-5 % 4 	  1.35E-8 5 
CE L	   140.26 5   	     0.0023 % 10 	  3.2E-6 14 
CE M	   146.28 5   	     5.1E-4 % 23 	  7E-7 3 
CE N	   147.65 5   	     1.1E-4 % 5 	  1.7E-7 7 
CE O	   147.97 5   	     1.6E-5 % 6 	  2.4E-8 9 
CE K	   160.81 11   	     2.39E-4 % 9 	  3.84E-7 15 
CE K	   165.60 11   	     0.00258 % 8 	  4.28E-6 13 
CE K	   192.4958 5   	     6E-5 % 6 	  1.1E-7 11 
CE K	   197.8632 9   	     0.610 % 10 	  0.001207 19 
CE L	   199.90 11   	     3.30E-5 % 13 	  6.6E-8 3 
CE L	   204.69 11   	     7.45E-4 % 22 	  1.52E-6 4 
CE K	   204.799 9   	     0.0031 % 8 	  6.3E-6 17 
CE M	   205.92 11   	     7.1E-6 % 3 	  1.45E-8 6 
CE N	   207.29 11   	     1.59E-6 % 6 	  3.29E-9 13 
CE O	   207.61 11   	     2.30E-7 % 9 	  4.78E-10 19 
CE M	   210.71 11   	     1.68E-4 % 5 	  3.54E-7 11 
CE N	   212.08 11   	     3.71E-5 % 11 	  7.87E-8 24 
CE O	   212.40 11   	     4.96E-6 % 15 	  1.05E-8 3 
CE K	   223.01 6   	     4.7E-4 % 3 	  1.05E-6 7 
CE K	   228.59 4   	     0.00298 % 8 	  6.82E-6 19 
