============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Layer 1(  15 um) =========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  169  2 .9224529E+06   1500002E-01  .7412E+04 -.3204E+05   .9486416  .0329548 -.3146317
T  170  2 .1154141E+07   1500010E-01 -.3496E+04 -.2231E+04   .9996637  .0150927 -.0210893
T  171  2 .1062580E+07   1500020E-01  .1312E+04  .4596E+03   .9970261  .0659895  .0398041
T  172  2 .1155532E+07   1500009E-01  .9108E+04  .1160E+04   .9782496  .2053657  .0292007
T  173  2 .1236728E+07   1500011E-01  .1966E+04  .8848E+02   .9987763  .0490124 -.0066107
T  174  2 .9374342E+06   1500000E-01  .2784E+05 -.1007E+05   .9759752  .1885947 -.1091073
T  175  2 .1144169E+07   1500000E-01  .9423E+04 -.4173E+04   .9928219  .1031385 -.0605572
T  176  2 .1176400E+07   1500017E-01  .2163E+04 -.1970E+04   .9988102  .0212052 -.0439154
T  177  2 .1173665E+07   1500006E-01 -.5925E+04  .2674E+04   .9843811 -.1693063  .0482622
T  178  2 .1164335E+07   1500014E-01 -.7888E+03  .4952E+04   .9982236  .0354220  .0479061
T  179  2 .1131906E+07   1500015E-01  .2648E+04  .4591E+04   .9981408  .0525466  .0308834
T  180  2 .1123860E+07   1500011E-01  .2129E+04  .1657E+04   .9948959  .1009049  .0006329
T  181  2 .1066788E+07   1500024E-01  .5046E+04  .6236E+04   .9849376  .0112317  .1725453
T  182  2 .1130247E+07   1500016E-01 -.1965E+04  .3814E+04   .9916057  .1062113  .0737384
T  183  2 .1100736E+07   1500016E-01 -.2852E+04 -.5976E+02   .9949857 -.0283333  .0959198
T  184  2 .1294269E+07   1500021E-01 -.1120E+04  .8960E+03   .9982168  .0016293  .0596710
T  185  2 .1172114E+07   1500001E-01  .3379E+04  .2605E+04   .9973137  .0590149  .0433901
T  186  2 .1223098E+07   1500020E-01  .3125E+04  .6059E+04   .9900039  .1024078  .0969791
T  187  2 .1149209E+07   1500003E-01 -.8323E+03  .4039E+04   .9844585 -.0469719  .1692194
T  188  2 .1270902E+07   1500008E-01 -.1396E+02 -.3309E+04   .9997061  .0165621  .0177044
T  189  2 .1059927E+07   1500009E-01 -.1970E+02 -.3002E+03   .9998480 -.0152879  .0083763
T  190  2 .1138538E+07   1500009E-01  .3308E+04 -.1341E+04   .9983971  .0355465  .0440426
T  191  2 .1150897E+07   1500018E-01  .1061E+03  .1820E+04   .9984054 -.0429812  .0365973
T  192  2 .1299592E+07   1500012E-01  .2419E+03  .6676E+04   .9970883  .0006361  .0762533
T  193  2 .1080285E+07   1500025E-01  .2821E+04  .1836E+03   .9977455  .0086876  .0665461
T  194  2 .1124233E+07   1500020E-01  .3317E+04  .2255E+04   .9975422  .0015700  .0700507
T  195  2 .1067328E+07   1500009E-01 -.1773E+04 -.3233E+04   .9978544 -.0483644 -.0441300
T  196  2 .1163630E+07   1500006E-01  .6083E+04  .6973E+04   .9913369  .1214822  .0499329
T  197  2 .1217042E+07   1500019E-01 -.3623E+04  .2201E+04   .9995357  .0281564 -.0116448
T  198  2 .1169009E+07   1500022E-01  .1465E+00 -.2640E+04   .9975267 -.0696930 -.0091294
